10  2  1
2
	0	38	1	56
	0	89	1	90
	0	14	1	17
	0	55	1	66
	0	65	1	50
	0	57	1	35
	0	97	1	21
	0	3	1	52
	0	54	1	77
	0	72	1	51
SSD
M0
0	26	4	21	34	22	37	12	20	28	
13	0	33	23	7	24	39	26	34	3	
46	8	0	21	29	22	19	26	49	26	
26	9	5	0	14	16	5	7	26	8	
34	7	36	5	0	2	31	18	41	16	
24	33	36	22	2	0	6	4	22	14	
26	40	45	10	29	48	0	34	21	46	
24	46	29	15	35	28	22	0	20	17	
9	11	14	19	19	2	31	6	0	7	
12	27	6	18	3	8	39	42	45	0	
M1
0	28	45	15	9	28	46	45	19	18	
30	0	12	2	6	36	30	37	30	46	
38	48	0	3	22	27	45	22	30	19	
14	9	40	0	22	43	49	22	14	8	
3	19	20	29	0	47	31	22	1	8	
3	18	25	37	38	0	4	28	40	29	
40	24	32	14	13	14	0	42	26	4	
22	31	32	48	27	11	13	0	28	21	
4	4	25	17	13	21	35	21	0	14	
44	48	21	41	15	38	23	38	22	0	
