30  4  1
4
	0	10	1	69	2	60	3	49
	0	23	1	34	2	85	3	90
	0	15	1	83	2	51	3	87
	0	92	1	71	2	5	3	82
	0	2	1	44	2	59	3	94
	0	10	1	77	2	63	3	50
	0	14	1	41	2	53	3	2
	0	62	1	12	2	73	3	80
	0	78	1	29	2	74	3	82
	0	35	1	63	2	46	3	94
	0	18	1	66	2	45	3	93
	0	64	1	89	2	6	3	81
	0	88	1	13	2	61	3	40
	0	11	1	20	2	2	3	28
	0	53	1	90	2	61	3	33
	0	79	1	21	2	94	3	64
	0	82	1	86	2	85	3	57
	0	54	1	98	2	23	3	5
	0	85	1	25	2	5	3	50
	0	77	1	77	2	65	3	4
	0	78	1	87	2	45	3	77
	0	54	1	20	2	54	3	18
	0	78	1	95	2	73	3	25
	0	88	1	17	2	6	3	63
	0	33	1	42	2	88	3	91
	0	46	1	20	2	4	3	96
	0	74	1	90	2	70	3	85
	0	65	1	37	2	80	3	84
	0	12	1	13	2	30	3	34
	0	75	1	89	2	68	3	95
SSD
M0
0	31	6	22	40	43	14	40	50	53	47	66	63	46	26	35	26	3	85	28	34	43	45	54	46	49	43	34	21	60	
27	0	43	59	29	32	3	42	12	61	76	44	65	35	37	24	53	13	86	52	54	9	78	43	35	6	32	36	23	49	
44	10	0	1	62	23	36	41	45	32	92	46	61	43	32	23	5	38	64	74	13	42	71	37	68	39	51	58	45	40	
29	19	45	0	5	8	36	26	4	37	68	31	70	11	15	40	56	23	56	61	47	8	35	19	66	30	8	34	33	25	
22	42	38	38	0	1	29	19	39	30	68	24	63	4	8	37	49	16	55	54	40	1	49	12	59	23	1	27	34	18	
11	52	27	43	61	0	35	8	71	74	68	13	64	67	41	26	47	5	44	49	29	64	38	71	56	70	18	53	40	7	
10	51	26	42	12	15	0	33	22	44	67	38	74	18	22	7	46	23	69	48	54	15	63	26	18	37	15	41	41	32	
63	24	63	79	69	72	50	0	59	80	38	35	26	26	54	26	15	60	109	59	29	2	11	80	63	29	72	40	56	32	
36	35	52	52	12	15	43	33	0	2	82	5	73	18	22	42	55	30	12	6	19	15	2	26	73	37	15	41	43	32	
34	58	40	32	72	56	46	22	53	0	78	20	59	56	14	5	60	23	110	46	55	29	65	15	78	63	42	9	17	12	
7	39	14	30	57	25	31	22	8	48	0	48	21	63	43	24	34	20	79	45	24	60	61	66	63	35	44	11	38	42	
29	30	45	18	38	41	53	24	65	45	49	0	4	44	48	74	65	42	67	40	2	41	38	52	34	31	41	14	60	58	
42	4	5	21	56	21	30	10	39	52	71	15	0	6	32	43	25	31	75	3	33	28	61	5	18	33	49	14	36	38	
36	27	27	43	66	59	48	38	62	74	54	68	61	0	40	65	47	49	72	48	55	16	84	43	44	56	41	12	19	26	
49	40	22	38	75	60	61	10	75	69	56	7	74	2	0	60	24	62	85	50	50	29	83	56	14	51	28	25	32	39	
50	31	6	22	52	41	26	59	62	53	95	64	47	34	53	0	26	56	78	33	34	55	75	58	58	60	44	57	64	58	
30	24	6	22	71	44	49	32	59	31	67	31	80	64	44	44	0	41	85	44	34	56	71	44	2	53	42	51	38	9	
