30  2  1
2
	0	32	1	74
	0	73	1	88
	0	2	1	74
	0	28	1	72
	0	34	1	99
	0	80	1	4
	0	93	1	56
	0	99	1	16
	0	100	1	35
	0	17	1	11
	0	13	1	86
	0	82	1	31
	0	85	1	80
	0	78	1	2
	0	48	1	65
	0	90	1	30
	0	41	1	35
	0	35	1	36
	0	13	1	57
	0	5	1	32
	0	56	1	36
	0	83	1	75
	0	35	1	18
	0	33	1	77
	0	40	1	39
	0	69	1	23
	0	71	1	91
	0	56	1	50
	0	26	1	60
	0	4	1	81
SSD
M0
0	28	22	26	5	7	36	26	45	45	37	3	8	20	34	2	19	19	36	34	27	40	31	15	23	28	12	25	3	30	
30	0	9	13	12	42	18	15	12	33	30	6	11	9	21	18	14	13	36	21	14	26	13	10	32	15	18	25	22	18	
26	29	0	21	1	49	26	4	30	22	19	20	36	13	27	23	26	2	27	10	3	30	16	25	21	4	29	14	24	7	
9	27	27	0	26	12	31	33	32	3	11	29	19	15	38	35	6	23	13	38	22	30	36	35	33	26	28	20	15	30	
19	20	35	2	0	40	16	14	32	15	7	13	24	15	5	16	16	1	32	3	14	34	9	27	23	2	29	9	26	9	
16	2	1	24	4	0	29	7	33	21	3	23	6	16	30	26	6	5	17	13	6	2	5	28	24	1	16	17	27	10	
29	4	30	10	29	20	0	4	33	37	19	38	25	26	40	13	10	34	22	28	14	41	31	30	29	30	29	22	12	20	
28	22	4	23	7	16	29	0	25	1	25	24	27	19	8	28	32	8	21	16	2	28	18	31	27	10	13	20	20	13	
13	35	27	8	30	23	23	27	0	2	31	26	42	27	42	29	36	31	22	33	32	29	34	2	8	9	30	26	17	22	
10	16	36	5	23	38	11	13	30	0	18	19	24	8	27	30	17	33	3	22	18	10	27	28	19	21	31	7	2	11	
26	34	26	27	2	31	23	13	42	5	0	36	4	14	22	11	30	30	20	30	31	32	14	14	11	2	18	26	15	19	
21	12	29	5	29	45	22	12	4	17	14	0	15	25	26	18	30	10	34	5	21	12	11	19	8	29	15	27	36	28	
22	5	28	31	18	19	23	7	5	18	3	10	0	1	22	13	21	7	35	6	6	29	12	7	16	18	24	9	14	2	
20	17	13	12	2	33	41	19	44	31	22	32	2	0	31	38	19	11	31	25	18	3	6	39	26	19	31	20	29	21	
31	34	32	26	20	38	28	4	14	4	11	7	28	29	0	11	38	36	24	32	4	31	11	9	35	15	22	28	9	32	
19	8	27	5	20	7	16	9	27	15	5	13	22	10	24	0	13	5	28	3	1	31	9	3	18	20	26	11	21	4	
20	24	41	16	38	38	36	20	16	15	27	36	41	21	21	30	0	6	30	26	39	23	16	33	29	17	31	22	2	15	
26	19	13	1	16	15	32	17	40	27	23	35	22	28	36	14	35	0	36	25	18	45	12	40	36	18	11	29	28	22	
16	17	20	13	23	39	12	9	21	4	12	3	8	5	12	26	1	24	0	15	2	21	21	12	7	5	26	11	20	4	
11	16	33	26	33	45	12	9	33	7	18	5	35	15	40	8	30	37	24	0	23	26	1	21	26	28	27	17	26	35	
18	1	12	7	15	38	10	16	4	7	25	10	3	11	14	1	17	16	3	2	0	27	8	9	23	15	23	24	26	20	
18	33	44	28	8	21	34	3	26	6	30	28	20	24	38	31	37	7	26	18	12	0	18	9	29	20	4	14	25	18	
12	35	38	28	10	36	10	12	18	6	25	21	26	7	12	25	19	38	5	25	3	33	0	13	8	23	32	29	25	22	
23	25	12	8	15	35	7	18	32	34	33	32	42	15	10	23	24	16	33	22	17	30	27	0	29	18	6	2	38	21	
22	19	27	12	30	3	2	6	17	18	17	12	22	11	8	23	15	30	1	16	16	7	22	11	0	19	27	12	2	5	
18	23	35	16	24	21	4	4	35	8	20	12	29	3	35	15	23	10	10	2	25	3	8	28	30	0	34	24	27	19	
