20  8  1
8
	0	92	1	6	2	56	3	2	4	21	5	82	6	30	7	20
	0	77	1	12	2	42	3	92	4	27	5	82	6	77	7	3
	0	9	1	45	2	73	3	30	4	78	5	57	6	71	7	4
	0	27	1	92	2	5	3	87	4	58	5	43	6	99	7	61
	0	25	1	32	2	9	3	76	4	62	5	76	6	32	7	3
	0	56	1	78	2	75	3	2	4	51	5	48	6	45	7	79
	0	74	1	74	2	8	3	16	4	29	5	97	6	31	7	87
	0	2	1	49	2	99	3	82	4	57	5	73	6	82	7	23
	0	38	1	29	2	78	3	39	4	93	5	50	6	65	7	20
	0	86	1	6	2	48	3	81	4	68	5	93	6	67	7	5
	0	21	1	54	2	5	3	37	4	91	5	88	6	29	7	57
	0	84	1	18	2	31	3	55	4	84	5	23	6	62	7	73
	0	12	1	43	2	77	3	1	4	52	5	26	6	36	7	39
	0	94	1	68	2	19	3	54	4	81	5	63	6	59	7	7
	0	60	1	75	2	100	3	15	4	68	5	87	6	32	7	83
	0	5	1	93	2	57	3	18	4	82	5	44	6	91	7	12
	0	37	1	57	2	17	3	49	4	59	5	43	6	21	7	79
	0	65	1	29	2	89	3	70	4	24	5	69	6	58	7	10
	0	10	1	66	2	26	3	51	4	46	5	63	6	76	7	83
	0	53	1	56	2	75	3	8	4	27	5	55	6	42	7	40
SSD
M0
0	5	41	1	16	8	26	22	6	21	20	4	2	20	27	12	21	25	30	6	
10	0	28	21	18	16	37	24	16	27	13	18	4	19	17	11	17	14	5	10	
41	29	0	14	21	32	29	49	23	18	17	28	35	39	37	33	45	42	25	38	
11	9	25	0	12	17	2	24	14	17	3	9	4	14	14	46	22	20	2	31	
33	29	44	8	0	13	18	22	23	33	32	37	8	10	17	33	8	31	28	31	
5	3	38	6	2	0	31	22	17	24	5	15	2	36	15	42	3	9	27	39	
13	22	44	15	27	26	0	12	28	32	11	20	20	18	25	35	15	18	21	4	
23	25	30	23	20	43	35	0	21	30	12	35	6	12	15	21	27	17	7	20	
19	7	17	19	3	16	2	7	0	20	5	30	10	21	15	30	23	21	3	25	
33	27	37	1	12	24	15	25	3	0	9	14	5	4	28	13	24	28	30	12	
17	6	24	17	28	10	9	15	29	13	0	13	14	29	13	22	21	11	1	21	
3	9	31	24	23	35	18	29	24	13	20	0	9	10	4	28	28	11	8	26	
33	10	37	14	2	40	42	8	3	13	22	23	0	22	25	31	22	11	17	30	
23	42	11	13	34	4	23	40	28	28	26	26	20	0	19	12	13	23	7	36	
19	10	26	19	3	37	18	30	30	10	28	7	16	22	0	14	23	21	3	2	
32	36	24	13	24	18	39	37	11	11	9	9	29	3	10	0	19	34	16	49	
9	20	32	25	16	38	46	26	21	31	29	29	6	18	15	15	0	21	9	12	
