20  6  1
6
	0	21	1	54	2	38	3	3	4	22	5	59
	0	92	1	58	2	50	3	20	4	2	5	67
	0	93	1	49	2	87	3	20	4	58	5	13
	0	7	1	16	2	84	3	8	4	22	5	13
	0	42	1	81	2	85	3	72	4	5	5	92
	0	67	1	60	2	90	3	55	4	37	5	86
	0	8	1	88	2	19	3	96	4	65	5	65
	0	19	1	56	2	10	3	41	4	99	5	74
	0	17	1	14	2	8	3	68	4	47	5	24
	0	39	1	71	2	30	3	7	4	47	5	24
	0	60	1	72	2	44	3	5	4	99	5	38
	0	76	1	91	2	18	3	76	4	32	5	58
	0	41	1	31	2	42	3	51	4	59	5	21
	0	66	1	1	2	30	3	36	4	88	5	53
	0	78	1	90	2	56	3	32	4	71	5	89
	0	30	1	79	2	32	3	26	4	49	5	12
	0	3	1	18	2	6	3	10	4	87	5	37
	0	99	1	15	2	28	3	10	4	12	5	4
	0	92	1	75	2	16	3	80	4	80	5	38
	0	20	1	75	2	80	3	57	4	98	5	70
SSD
M0
0	21	38	74	47	11	47	46	36	63	44	67	8	34	2	57	86	34	75	18	
58	0	67	47	61	59	59	16	71	12	38	60	63	9	81	53	66	82	22	73	
21	34	0	52	9	16	27	45	15	15	66	26	16	54	28	53	67	76	19	55	
4	7	21	0	19	36	23	27	52	25	37	6	22	59	27	49	48	42	73	43	
44	33	46	50	0	29	47	19	36	49	33	54	45	13	66	62	35	64	42	11	
17	33	19	51	37	0	2	20	13	22	18	12	46	47	39	28	8	37	24	53	
17	55	43	41	27	49	0	10	37	46	40	36	46	37	40	18	32	61	57	56	
23	26	40	12	26	52	42	0	50	44	11	25	41	21	46	39	45	47	30	38	
60	70	62	89	22	42	59	62	0	52	61	14	27	22	82	68	51	76	32	23	
57	61	16	47	40	8	68	56	31	0	64	60	12	70	56	34	67	77	29	71	
29	15	31	48	19	36	7	17	25	22	0	39	15	6	6	20	20	49	35	49	
38	50	40	36	23	45	56	59	34	43	39	0	41	73	60	71	29	48	38	20	
40	53	23	39	18	2	15	33	49	31	24	52	0	60	28	11	44	72	41	20	
10	52	51	57	71	22	60	53	58	49	2	70	30	0	32	47	80	65	39	49	
57	42	59	49	48	59	55	18	24	12	20	11	47	58	0	41	74	69	67	19	
12	35	14	44	26	44	47	13	8	17	13	34	41	36	34	0	3	32	28	17	
6	29	8	79	41	38	58	73	2	11	7	33	35	41	28	84	0	26	22	42	
22	22	39	11	37	44	14	32	34	43	3	24	40	59	34	3	35	0	60	50	
5	13	39	26	48	37	55	37	33	42	6	39	7	55	12	53	28	45	0	19	
41	64	64	50	9	73	16	19	58	67	49	60	38	59	64	31	53	36	37	0	
M1
0	22	37	36	11	25	77	53	38	66	32	78	38	14	19	63	42	39	39	36	
86	0	55	52	20	25	70	42	15	47	50	55	37	32	13	74	60	33	38	54	
14	13	0	5	47	8	7	53	3	33	29	60	13	81	20	16	51	21	26	1	
83	82	52	0	26	39	61	43	44	42	28	66	66	62	41	92	77	11	45	28	
33	73	26	42	0	14	51	14	58	70	18	14	72	3	8	73	31	25	28	25	
23	26	15	40	44	0	10	23	21	16	50	45	43	79	9	80	3	39	44	31	
35	21	10	64	74	36	0	52	34	11	43	65	56	25	30	19	53	52	50	47	
70	53	29	45	82	17	41	0	10	69	24	60	32	6	8	73	34	5	31	28	
