10  8  1
8
	0	71	1	70	2	63	3	18	4	73	5	61	6	37	7	24
	0	95	1	92	2	27	3	84	4	56	5	96	6	10	7	32
	0	18	1	60	2	92	3	48	4	82	5	35	6	57	7	51
	0	73	1	93	2	40	3	80	4	3	5	34	6	53	7	32
	0	95	1	54	2	34	3	40	4	23	5	44	6	12	7	2
	0	4	1	68	2	5	3	1	4	25	5	36	6	88	7	67
	0	22	1	94	2	16	3	82	4	21	5	71	6	57	7	22
	0	17	1	60	2	9	3	86	4	46	5	38	6	77	7	64
	0	82	1	39	2	37	3	39	4	67	5	38	6	36	7	17
	0	41	1	2	2	73	3	46	4	41	5	34	6	78	7	57
SSD
M0
0	64	6	37	41	76	41	6	47	28	
56	0	31	55	6	23	61	31	61	14	
68	40	0	16	33	52	17	31	60	47	
46	28	53	0	64	56	62	28	77	3	
57	65	7	41	0	59	42	40	4	51	
41	57	4	35	4	0	34	4	53	26	
71	1	58	77	65	57	0	46	22	25	
20	57	30	14	22	91	34	0	32	5	
74	73	79	75	80	85	60	73	0	61	
74	41	29	63	60	78	18	64	62	0	
M1
0	18	59	48	30	50	6	12	25	34	
30	0	31	30	24	88	59	33	75	37	
25	94	0	54	20	79	32	47	49	40	
45	24	73	0	48	83	55	40	68	33	
22	73	7	59	0	75	33	4	44	87	
30	22	98	37	85	0	51	51	66	77	
89	20	45	36	71	36	0	33	18	61	
68	68	89	37	52	25	45	0	40	23	
49	17	16	18	31	66	18	11	0	4	
43	55	81	12	82	60	20	5	36	0	
M2
0	3	68	47	38	34	65	36	13	25	
66	0	64	56	8	43	35	42	59	55	
69	55	0	50	11	37	57	46	65	49	
73	62	54	0	75	73	42	82	84	54	
24	52	52	15	0	11	32	20	39	18	
61	57	36	8	24	0	37	4	23	7	
24	4	55	87	39	74	0	73	85	49	
48	44	23	25	11	56	24	0	10	10	
62	52	72	71	60	58	70	40	0	19	
68	6	36	45	12	57	44	11	30	0	
M3
0	63	46	43	12	14	39	19	85	24	
57	0	49	48	30	36	69	5	53	5	
23	3	0	64	18	32	41	35	16	65	
26	37	27	0	56	8	78	13	3	54	
53	78	27	6	0	58	1	19	89	59	
62	50	31	92	86	0	69	4	84	45	
68	17	65	53	93	33	0	38	87	77	
44	56	5	85	48	46	57	0	30	8	
70	9	78	36	68	80	59	34	0	97	
6	59	66	33	36	34	59	5	15	0	
M4
0	14	12	50	46	45	58	80	46	8	
54	0	61	22	22	38	39	29	32	2	
73	10	0	83	50	94	35	36	7	7	
66	18	46	0	26	14	14	27	7	12	
94	25	65	33	0	50	46	63	43	6	
58	65	27	74	33	0	37	98	39	6	
31	46	52	71	53	42	0	89	68	10	
19	17	33	75	19	86	70	0	25	15	
72	21	57	80	50	41	62	21	0	7	
53	50	18	58	2	73	14	70	17	0	
M5
0	49	53	3	36	62	47	4	73	16	
28	0	14	35	30	42	62	12	53	69	
60	59	0	76	81	24	60	10	66	87	
30	12	16	0	57	25	67	27	83	64	
52	51	14	79	0	25	27	2	49	18	
65	71	71	25	57	0	72	59	22	27	
17	97	70	72	87	16	0	51	28	79	
12	11	45	76	89	46	12	0	43	74	
14	31	11	56	33	39	12	56	0	23	
35	51	13	95	33	38	20	58	87	0	
M6
0	21	46	23	30	49	34	70	26	72	
58	0	44	42	48	68	24	74	30	51	
38	19	0	41	16	74	53	62	59	32	
22	80	15	0	54	87	74	72	73	4	
31	89	75	47	0	46	32	87	86	40	
60	43	41	86	92	0	18	59	40	99	
74	95	31	59	41	70	0	55	54	93	
73	63	13	72	30	33	13	0	29	66	
71	88	46	23	89	39	98	8	0	35	
5	63	21	65	58	5	41	41	53	0	
M7
0	77	6	42	60	4	9	35	47	10	
90	0	62	32	11	17	94	18	56	79	
25	20	0	24	3	53	58	35	62	59	
61	17	1	0	55	21	55	6	37	87	
90	15	52	19	0	64	81	35	88	75	
6	52	23	28	35	0	30	60	77	40	
5	54	35	45	78	16	0	36	44	39	
46	27	2	77	56	31	79	0	90	38	
56	75	59	26	71	20	81	22	0	39	
21	51	25	75	79	4	54	61	32	0	
