10  8  1
8
	0	95	1	62	2	25	3	25	4	89	5	30	6	86	7	17
	0	42	1	77	2	73	3	7	4	94	5	23	6	88	7	7
	0	69	1	82	2	20	3	5	4	21	5	60	6	13	7	86
	0	73	1	33	2	63	3	79	4	100	5	11	6	32	7	99
	0	85	1	13	2	97	3	69	4	60	5	89	6	82	7	22
	0	90	1	78	2	26	3	44	4	86	5	93	6	96	7	85
	0	55	1	52	2	54	3	58	4	92	5	13	6	11	7	10
	0	8	1	82	2	60	3	14	4	35	5	85	6	52	7	48
	0	38	1	48	2	50	3	28	4	58	5	6	6	3	7	29
	0	28	1	35	2	91	3	9	4	64	5	2	6	58	7	13
SSD
M0
0	21	60	33	45	27	73	66	63	2	
88	0	90	61	2	1	92	57	73	47	
30	45	0	53	36	88	38	9	25	28	
62	44	27	0	18	51	108	104	1	107	
32	37	34	2	0	14	5	1	17	20	
44	51	23	65	64	0	67	15	31	27	
17	55	49	69	38	53	0	19	35	36	
23	28	25	42	41	71	83	0	8	11	
60	5	62	108	48	40	119	104	0	93	
70	86	45	53	76	97	58	114	91	0	
M1
0	6	90	50	95	105	124	75	52	96	
95	0	81	41	12	85	108	88	119	53	
53	96	0	123	95	26	27	119	94	100	
47	16	7	0	72	40	114	14	69	13	
98	48	80	106	0	104	124	64	123	56	
37	63	79	68	2	0	60	79	53	71	
50	17	68	89	16	70	0	40	58	21	
40	68	62	22	76	65	103	0	2	25	
84	53	44	4	104	77	53	51	0	50	
7	68	92	104	24	97	121	76	52	0	
M2
0	72	45	21	25	19	21	2	49	22	
48	0	40	17	56	63	50	75	64	72	
86	7	0	76	25	3	30	113	25	12	
2	99	72	0	34	46	42	13	27	36	
103	26	107	40	0	98	120	110	83	98	
58	82	64	47	51	0	18	85	10	31	
60	65	40	63	14	54	0	41	1	72	
73	47	32	72	34	55	80	0	10	64	
72	34	7	12	52	30	57	88	0	39	
25	3	70	63	49	29	16	52	46	0	
M3
0	14	38	84	36	72	30	11	55	28	
25	0	17	68	15	51	53	34	88	7	
70	89	0	70	51	29	31	75	66	49	
68	86	67	0	32	31	61	66	9	47	
32	1	25	41	0	43	61	42	12	15	
11	50	74	79	21	0	66	2	83	21	
71	78	102	31	62	16	0	62	63	81	
22	50	74	66	31	62	77	0	84	5	
65	85	73	1	87	107	73	101	0	92	
12	36	60	52	17	94	67	18	92	0	
M4
0	21	1	59	6	15	42	4	53	58	
51	0	24	80	23	48	11	69	76	16	
50	34	0	37	36	93	63	24	31	114	
48	54	49	0	19	100	41	70	45	56	
79	69	124	94	0	64	96	23	104	79	
75	98	62	116	16	0	30	99	114	32	
111	10	71	57	30	108	0	113	77	39	
46	58	85	119	32	114	38	0	123	117	
28	83	31	89	53	4	9	2	0	102	
72	114	78	124	105	108	64	99	71	0	
M5
0	37	2	59	53	47	20	28	15	21	
35	0	67	85	52	48	53	29	16	29	
71	13	0	13	64	20	65	28	52	49	
65	7	66	0	40	27	41	4	46	59	
97	39	74	65	0	18	76	69	56	69	
23	18	55	64	47	0	56	32	19	2	
17	70	49	81	36	31	0	75	62	68	
48	72	80	90	92	91	62	0	59	56	
54	23	61	75	32	26	31	7	0	7	
45	14	77	66	43	47	52	28	15	0	
M6
0	25	44	23	29	53	60	27	35	89	
40	0	6	115	14	41	25	99	74	41	
64	20	0	118	51	43	64	86	113	93	
39	83	53	0	20	16	122	79	83	53	
43	38	107	93	0	21	77	101	34	112	
59	57	24	61	19	0	101	71	109	96	
117	49	119	121	44	17	0	63	102	73	
115	63	43	60	26	14	3	0	85	68	
32	94	73	96	95	15	40	105	0	94	
44	106	85	74	34	27	52	36	9	0	
M7
0	4	43	38	64	35	7	19	39	31	
44	0	39	27	53	31	3	54	35	20	
50	45	0	10	22	39	12	2	44	56	
34	55	53	0	106	45	17	69	49	10	
27	36	82	26	0	50	46	63	78	63	
88	37	66	71	84	0	47	24	79	64	
50	68	26	83	94	18	0	42	22	82	
30	51	67	16	55	46	54	0	15	6	
55	17	52	32	43	2	27	78	0	31	
11	32	63	32	92	63	35	47	67	0	
